Height;3dhoneycomb_12h28m 123.848;adaptivecubic_5h45m 97.501;alignedrectilinear_8h47m 149.868;archimedeanchords_7h45m 148.136;concentric_8h11m 158.703;crosshatch_10h41m 144.631;crosszag_8h49m 149.767;cubic_8h16m 148.476;grid_8h28m 148.804;gyroid_10h53m 141.269;hilbertcurve_13h23m 148.557;honeycomb_17h36m 190.473;lateral-honeycomb_8h1m 147.447;lateral-lattice_8h3m 148.47;lightning_2h35m 18.0803;line_7h49m 154.611;lockedzag_16h35m 233.29;monotonicline_9h0m 149.765;monotonic_7h54m 149.323;octagramspiral_9h29m 148.656;quartercubic_8h26m 148.477;rectilinear_8h48m 149.868;supportcubic_3h3m 49.3144;tpmsd_10h44m 150.283;tpmsfk_12h14m 150.349;tri-hexagon_8h5m 148.458;triangles_8h10m 147.48;zigzag_8h50m 149.868
0,4;138,78;50,51;71,55;16,29;64,39;208,12;71,91;66,74;69,57;44,12;137,14;186,33;47,78;63,95;;61,72;146,73;143,93;123,50;83,11;69,18;72,54;5,96;51,11;31,16;65,63;65,79;71,91
0,6;147,07;50,17;71,48;15,72;64,41;197,60;73,28;66,42;68,37;42,64;137,14;186,23;49,57;64,18;;61,72;147,09;145,17;122,09;83,11;69,08;72,47;5,95;52,52;36,95;65,04;65,79;73,87
0,8;151,68;49,92;73,89;16,29;64,40;183,96;72,01;66,96;69,57;111,45;137,14;187,17;48,74;64,36;;61,72;146,55;143,96;120,90;83,11;68,43;70,20;5,95;52,31;36,80;65,63;65,79;71,79
1;154,36;52,02;71,64;17,41;64,38;60,54;73,53;65,33;68,37;116,35;137,14;185,39;47,78;63,37;;61,72;145,34;145,17;123,52;83,11;68,44;73,63;5,95;52,24;41,82;65,04;65,79;73,87
1,2;155,11;52,06;72,25;16,29;64,38;60,95;74,03;66,85;69,57;111,43;137,14;186,28;47,78;63,56;;61,72;145,18;143,96;123,50;83,11;68,98;70,75;5,94;51,76;61,02;65,63;65,79;71,79
1,4;155,03;52,01;71,39;17,41;64,39;60,77;73,07;66,66;68,37;105,17;137,14;186,84;47,78;63,62;;61,72;144,97;145,17;122,09;83,11;69,21;73,63;5,94;52,00;55,47;65,04;65,79;73,87
1,6;153,25;51,54;70,44;16,29;64,41;60,62;71,97;66,79;69,57;45,43;137,14;186,65;47,78;63,53;;61,72;144,54;143,96;120,90;83,11;69,38;70,75;5,94;50,84;55,68;65,63;65,79;71,79
1,8;148,65;51,64;71,48;17,41;64,40;61,11;72,98;66,74;68,37;45,29;137,14;186,19;47,78;63,63;;61,72;145,35;145,17;123,52;83,11;69,90;73,63;5,93;51,39;86,35;65,04;65,79;73,87
2;144,11;51,64;73,89;16,29;64,38;61,29;74,23;67,01;69,57;44,75;137,14;186,84;47,78;64,26;;61,72;147,12;143,96;123,50;83,11;70,50;70,75;5,93;50,28;59,59;65,63;65,79;71,79
2,2;136,53;51,90;71,64;17,41;64,40;60,77;71,80;67,00;68,37;48,77;137,14;186,65;47,78;64,29;;61,72;145,29;145,17;122,09;83,11;70,09;73,63;5,93;56,43;66,38;65,04;65,79;73,87
2,4;124,69;51,53;72,25;16,29;64,40;60,62;72,95;66,91;69,57;46,06;137,14;186,19;47,78;64,71;;61,72;145,21;143,96;120,90;83,11;70,30;70,75;5,92;53,03;55,23;65,63;65,79;71,79
2,6;125,05;51,76;71,39;17,41;64,41;61,11;72,42;65,57;68,37;45,33;137,14;186,84;47,78;63,93;;61,72;145,67;145,17;123,52;83,11;70,30;73,63;5,92;204,05;37,00;65,04;65,79;73,87
2,8;137,64;51,75;70,44;16,29;64,40;61,29;74,08;66,26;69,57;46,64;137,14;186,65;92,79;63,73;;61,72;147,61;143,96;123,50;83,11;70,61;70,75;5,92;59,00;39,47;65,63;65,79;71,79
3;143,55;51,37;71,48;17,41;64,37;179,78;70,60;66,85;68,37;109,11;137,14;186,19;93,08;63,47;;61,72;145,74;145,17;122,09;83,11;70,29;73,63;5,91;100,47;35,65;65,04;65,79;73,87
3,2;150,50;51,80;73,89;16,29;64,41;193,44;72,23;66,77;69,57;48,50;137,14;186,84;93,28;62,82;;61,72;145,65;143,96;120,90;83,11;70,57;70,75;5,91;51,34;35,53;65,63;65,79;71,79
3,4;154,09;51,92;71,64;17,41;64,40;205,12;72,35;66,76;68,37;43,07;137,14;186,65;93,01;62,25;;61,72;144,44;145,17;123,52;83,11;70,24;73,63;5,91;50,97;38,36;65,04;65,79;73,87
3,6;155,50;52,25;72,25;16,29;64,41;218,65;73,04;66,86;69,57;107,02;137,14;186,19;92,85;63,16;;61,72;144,85;143,96;123,50;83,11;70,48;70,75;5,91;50,75;33,84;65,63;65,79;71,79
3,8;155,53;52,27;71,39;17,41;64,40;207,78;71,25;65,84;68,37;41,35;137,14;186,84;92,55;63,10;;61,72;145,44;145,17;122,09;83,11;70,06;73,63;5,90;51,32;35,79;65,04;65,79;73,87
4;153,89;52,56;70,44;16,29;64,36;195,38;71,54;68,62;69,57;43,95;137,14;186,65;50,02;63,43;;61,72;145,27;143,96;120,90;83,11;69,19;70,75;5,90;50,69;35,62;65,63;65,79;71,79
4,2;151,99;52,53;71,48;17,41;64,41;182,19;71,84;68,30;68,37;39,54;137,14;186,19;49,17;64,67;;61,72;144,94;145,17;123,52;83,11;69,02;73,63;5,90;51,66;32,74;65,04;65,79;73,87
4,4;145,54;50,50;73,89;16,29;64,40;61,15;71,84;67,07;69,57;43,10;137,14;186,84;50,93;64,03;;61,72;144,97;143,96;123,50;83,11;68,80;70,75;5,89;52,70;39,52;65,63;65,79;71,79
4,6;139,55;49,88;71,64;17,41;64,41;61,53;74,70;67,53;68,37;39,65;137,14;186,65;49,53;63,99;;61,72;146,37;145,17;122,09;83,11;68,47;73,63;5,89;102,06;43,40;65,04;65,79;73,87
4,8;131,52;49,91;72,25;16,29;64,39;61,23;72,23;67,43;69,57;44,98;137,14;186,19;50,81;64,33;;61,72;146,42;143,96;120,90;83,11;68,66;70,75;5,89;62,99;82,42;65,63;65,79;71,79
5;51,46;52,53;71,39;17,41;64,35;62,28;73,92;67,19;68,37;101,59;137,14;186,84;49,60;63,53;;61,72;145,90;145,17;123,52;83,11;68,87;73,63;5,88;212,53;62,87;65,04;65,79;73,87
5,2;131,57;52,08;70,44;16,29;64,41;60,14;72,56;67,22;69,57;143,42;137,14;186,65;50,93;63,62;;61,72;147,19;143,96;123,50;83,11;69,54;70,75;5,88;57,60;61,10;65,63;65,79;71,79
5,4;139,79;52,04;71,48;17,41;64,40;61,23;72,03;66,35;68,37;50,91;137,14;186,19;49,53;63,48;;61,72;142,81;145,17;122,09;83,11;69,82;73,63;5,88;49,94;59,71;65,04;65,79;73,87
5,6;147,64;51,87;73,89;16,29;64,41;62,28;73,07;68,66;69,57;110,20;137,14;186,84;50,81;63,50;;61,72;143,92;143,96;120,90;83,11;70,27;70,75;5,87;52,75;59,71;65,63;65,79;71,79
5,8;151,31;52,85;71,64;17,41;64,39;60,14;72,77;66,55;68,37;109,31;137,14;186,65;49,60;64,56;;61,72;145,82;145,17;123,52;83,11;69,63;73,63;5,87;51,24;79,61;65,04;65,79;73,87
6;154,82;52,81;72,25;16,29;64,33;61,23;71,78;68,40;69,57;45,17;137,14;186,19;50,93;64,34;;61,72;147,21;143,96;123,50;83,11;69,10;70,75;5,87;51,70;43,34;65,63;65,79;71,79
6,2;155,00;50,41;71,39;17,41;64,40;62,28;72,32;65,86;68,37;45,17;137,14;186,84;49,53;64,17;;61,72;145,16;145,17;122,09;83,11;68,71;73,63;5,86;52,42;32,99;65,04;65,79;73,87
6,4;155,37;50,34;70,44;16,29;64,40;180,38;72,70;68,61;69,57;45,19;137,14;186,65;50,81;63,99;;61,72;145,75;143,96;120,90;83,11;69,37;70,75;5,86;49,84;33,31;65,63;65,79;71,79
6,6;152,74;50,26;71,48;17,41;64,40;194,27;73,90;68,23;68,37;48,11;137,14;186,19;92,42;63,20;;61,72;144,81;145,17;123,52;83,11;70,31;73,63;5,85;52,01;31,49;65,04;65,79;73,87
6,8;148,81;50,17;73,89;16,29;64,39;206,54;70,65;67,36;69,57;47,44;137,14;186,84;92,91;63,37;;61,72;145,40;143,96;123,50;83,11;69,80;70,75;5,85;50,81;27,83;65,63;65,79;71,79
7;143,35;50,06;71,64;17,41;64,38;218,46;72,41;67,56;68,37;46,74;137,14;186,65;93,34;63,82;;61,72;145,98;145,17;122,09;83,11;69,66;73,63;5,84;49,82;32,92;65,04;65,79;73,87
7,2;136,39;49,93;72,25;16,29;64,39;207,07;71,63;67,33;69,57;110,83;137,14;186,19;93,75;63,90;;61,72;146,12;143,96;120,90;83,11;69,82;70,75;5,84;57,12;35,37;65,63;65,79;71,79
7,4;124,41;49,79;71,39;17,41;64,41;195,67;72,23;67,55;68,37;145,73;137,14;186,84;93,32;64,22;;61,72;143,68;145,17;123,52;83,11;69,68;73,63;5,83;52,35;31,36;65,04;65,79;73,87
7,6;125,58;49,61;70,44;16,29;64,40;182,10;72,66;66,93;69,57;121,65;137,14;186,65;92,62;64,36;;61,72;142,94;143,96;123,50;83,11;70,43;70,75;5,82;205,20;38,20;65,63;65,79;71,79
7,8;136,86;49,89;71,48;17,41;64,38;60,90;72,24;68,70;68,37;144,34;137,14;186,19;90,59;63,97;;61,72;148,63;145,17;122,09;83,11;70,28;73,63;5,81;64,97;33,70;65,04;65,79;73,87
8;143,86;48,93;73,89;16,29;64,40;61,21;72,28;68,67;69,57;101,97;137,14;186,84;49,61;63,58;;61,72;146,44;143,96;120,90;83,11;69,77;70,75;5,80;134,31;35,31;65,63;65,79;71,79
